state,bills,seats in 2020,seats in 2010,seats in 2000,seats in 1990,seats in 1980,seats in 1970,Average_seats,,Bills per Representative,Efficiency
AK,211,1,1,1,1,1,1,1.00,,211.00,4.06
VT,115,1,1,1,1,1,1,1.00,,115.00,2.21
MT,134,2,1,1,1,2,2,1.50,,89.33,1.72
SD,104,1,1,1,1,1,2,1.17,,89.14,1.71
WY,84,1,1,1,1,1,1,1.00,,84.00,1.62
UT,263,4,4,3,3,3,2,3.17,,83.05,1.60
DE,82,1,1,1,1,1,1,1.00,,82.00,1.58
RI,137,2,2,2,2,2,2,2.00,,68.50,1.32
ND,68,1,1,1,1,1,1,1.00,,68.00,1.31
HI,133,2,2,2,2,2,2,2.00,,66.50,1.28
MS,297,4,4,4,5,5,5,4.50,,66.00,1.27
NM,186,3,3,3,3,3,2,2.83,,65.65,1.26
ID,121,2,2,2,2,2,2,2.00,,60.50,1.16
NV,160,4,4,3,2,2,1,2.67,,60.00,1.15
DC,54,1,1,1,1,1,1,1.00,,54.00,1.04
OR,262,6,5,5,5,5,4,5.00,,52.40,1.01
AZ,314,9,9,8,6,5,4,6.83,,45.95,0.88
ME,89,2,2,2,2,2,2,2.00,,44.50,0.86
WV,133,2,3,3,3,4,4,3.17,,42.00,0.81
KS,166,4,4,4,4,5,5,4.33,,38.31,0.74
NH,73,2,2,2,2,2,2,2.00,,36.50,0.70
WA,315,10,10,9,9,8,7,8.83,,35.66,0.69
AR,140,4,4,4,4,4,4,4.00,,35.00,0.67
LA,242,6,6,7,7,8,8,7.00,,34.57,0.66
MA,338,9,9,10,10,11,12,10.17,,33.25,0.64
CO,213,8,7,7,6,6,5,6.50,,32.77,0.63
WI,275,8,8,8,9,9,9,8.50,,32.35,0.62
IA,160,4,4,5,5,6,6,5.00,,32.00,0.62
MO,282,8,8,9,9,9,10,8.83,,31.92,0.61
NJ,397,12,12,13,13,14,15,13.17,,30.15,0.58
NE,89,3,3,3,3,3,3,3.00,,29.67,0.57
MD,237,8,8,8,8,8,8,8.00,,29.63,0.57
MI,452,13,14,15,16,18,19,15.83,,28.55,0.55
VA,300,11,11,11,11,10,10,10.67,,28.13,0.54
MN,220,8,8,8,8,8,8,8.00,,27.50,0.53
AL,190,7,7,7,7,7,7,7.00,,27.14,0.52
OK,148,5,5,5,6,6,6,5.50,,26.91,0.52
SC,170,7,7,6,6,6,6,6.33,,26.84,0.52
KY,166,6,6,6,6,7,7,6.33,,26.21,0.50
NY,805,26,27,29,31,34,39,31.00,,25.97,0.50
CT,140,5,5,5,6,6,6,5.50,,25.45,0.49
CA,1243,52,53,53,52,45,43,49.67,,25.03,0.48
FL,569,28,27,25,23,19,15,22.83,,24.92,0.48
TX,765,38,36,32,30,27,24,31.17,,24.55,0.47
IN,236,9,9,9,10,10,11,9.67,,24.41,0.47
IL,487,17,18,19,20,22,24,20.00,,24.35,0.47
OH,405,15,16,18,19,21,23,18.67,,21.70,0.42
TN,188,9,9,9,9,9,8,8.83,,21.28,0.41
PA,418,17,18,19,21,23,25,20.50,,20.39,0.39
NC,247,14,13,13,12,11,11,12.33,,20.03,0.39
GA,233,14,14,13,11,10,10,12.00,,19.42,0.37